model_family,family,modality,gold,pred,runs,count_mean,count_std,rate_within_gold_mean,rate_within_gold_std
hilo,hilo_ta,ta,non_pair,non_pair,3,13593.333333333334,427.62405607417963,0.8785195717270945,0.0276367902846365
hilo,hilo_tav,tav,emo_cause,emo_cause,3,1043.6666666666667,114.00146197892958,0.5903092006033183,0.06448046492020905
hilo,hilo_tav,tav,emo_cause,emo_context,3,174.66666666666666,61.419323777890405,0.09879336349924585,0.03473943652595611
hilo,hilo_tav,tav,emo_cause,non_pair,3,549.6666666666666,139.50029868546278,0.3108974358974359,0.07890288387186807
hilo,hilo_tav,tav,emo_context,emo_cause,3,140.66666666666666,9.8657657246325,0.1425194191151638,0.009995709954034957
hilo,hilo_tav,tav,emo_context,emo_context,3,246.66666666666666,78.51326851770555,0.24991556906450527,0.07954738451641899
hilo,hilo_tav,tav,emo_context,non_pair,3,599.6666666666666,86.80053763274356,0.607565011820331,0.08794380712537343
hilo,hilo_tav,tav,non_pair,emo_cause,3,1169.0,260.02115298567537,0.07555095973631487,0.016804831188888734
hilo,hilo_tav,tav,non_pair,emo_context,3,1074.6666666666667,391.64567319623654,0.06945431827484434,0.025311553880710692
hilo,hilo_tav,tav,non_pair,non_pair,3,13229.333333333334,492.75687040703303,0.8549947219888407,0.031846239928070355
hilo,hilo_tv,tv,emo_cause,emo_cause,3,931.6666666666666,7.234178138070251,0.5269607843137255,0.004091729716103059
hilo,hilo_tv,tv,emo_cause,emo_context,3,126.66666666666667,49.3389636426763,0.07164404223227752,0.027906653644047683
hilo,hilo_tv,tv,emo_cause,non_pair,3,709.6666666666666,49.52103929981007,0.40139517345399706,0.028009637613014754
hilo,hilo_tv,tv,emo_context,emo_cause,3,144.66666666666666,4.163331998932268,0.14657210401891255,0.004218168185341702
hilo,hilo_tv,tv,emo_context,emo_context,3,159.33333333333334,56.97660338536629,0.16143194866599123,0.05772705510168824
hilo,hilo_tv,tv,emo_context,non_pair,3,683.0,58.02585630561603,0.6919959473150962,0.058790127969215816
hilo,hilo_tv,tv,non_pair,emo_cause,3,991.0,76.01973427998811,0.0640470496994765,0.004913057214501907
hilo,hilo_tv,tv,non_pair,emo_context,3,607.3333333333334,355.5985564275161,0.039251168702470966,0.02298187529422323
hilo,hilo_tv,tv,non_pair,non_pair,3,13874.666666666666,299.54020320039405,0.8967017815980526,0.019358896348503483
m3hg,m3hg_t,t,emo_cause,emo_cause,3,1179.3333333333333,41.78915329763617,0.6573764399851356,0.023293842417857372
m3hg,m3hg_t,t,emo_cause,emo_context,3,254.66666666666666,37.44774136491189,0.14195466369379414,0.020873880359482653
m3hg,m3hg_t,t,emo_cause,non_pair,3,360.0,34.87119154832539,0.20066889632107024,0.019437676448341917
m3hg,m3hg_t,t,emo_context,emo_cause,3,126.66666666666667,33.50124375800596,0.12704781009695754,0.033602049907729144
m3hg,m3hg_t,t,emo_context,emo_context,3,392.6666666666667,21.455380055672126,0.39384821130056835,0.021519939875298034
m3hg,m3hg_t,t,emo_context,non_pair,3,477.6666666666667,41.19870548128101,0.47910397860247406,0.04132267350178638
m3hg,m3hg_t,t,non_pair,emo_cause,3,1087.3333333333333,115.17522881823739,0.07027294857709128,0.0074436262404341275
m3hg,m3hg_t,t,non_pair,emo_context,3,1186.0,58.283788483591216,0.07664964777354101,0.003766805951243534
m3hg,m3hg_t,t,non_pair,non_pair,3,13199.666666666666,172.52922457755744,0.8530774036493677,0.011150340889133139
m3hg,m3hg_ta,ta,emo_cause,emo_cause,3,1135.3333333333333,35.907288025320604,0.6328502415458938,0.020015210716455213
m3hg,m3hg_ta,ta,emo_cause,emo_context,3,225.0,54.064775963653084,0.1254180602006689,0.030136441451311637
m3hg,m3hg_ta,ta,emo_cause,non_pair,3,433.6666666666667,66.4253967495365,0.24173169825343735,0.0370264195928297
m3hg,m3hg_ta,ta,emo_context,emo_cause,3,109.33333333333333,11.060440015358036,0.10966232029421598,0.01109372117889473
m3hg,m3hg_ta,ta,emo_context,emo_context,3,339.0,51.85556864985669,0.34002006018054165,0.05201160346023739
m3hg,m3hg_ta,ta,emo_context,non_pair,3,548.6666666666666,47.17343885422529,0.5503176195252424,0.04731538500925302
m3hg,m3hg_ta,ta,non_pair,emo_cause,3,964.0,68.60757975617562,0.062302074581529115,0.004434019243596955
m3hg,m3hg_ta,ta,non_pair,emo_context,3,962.3333333333334,247.08163293400287,0.06219436006807557,0.01596856672487577
m3hg,m3hg_ta,ta,non_pair,non_pair,3,13546.666666666666,266.1321726761596,0.8755035653503954,0.017199778496488103
m3hg,m3hg_tav,tav,emo_cause,emo_cause,3,1129.6666666666667,14.571661996262899,0.6296915644741732,0.008122442584315989
m3hg,m3hg_tav,tav,emo_cause,emo_context,3,216.66666666666666,10.503967504392488,0.12077294685990338,0.005855054350274515
m3hg,m3hg_tav,tav,emo_cause,non_pair,3,447.6666666666667,14.294521094927719,0.24953548866592343,0.007967960476548314
m3hg,m3hg_tav,tav,emo_context,emo_cause,3,141.0,1.7320508075688772,0.14142427281845535,0.0017372625953549442
m3hg,m3hg_tav,tav,emo_context,emo_context,3,319.0,25.238858928247925,0.31995987963891676,0.025314803338262706
m3hg,m3hg_tav,tav,emo_context,non_pair,3,537.0,26.514147167125703,0.5386158475426278,0.026593928953987715
m3hg,m3hg_tav,tav,non_pair,emo_cause,3,1005.0,44.034077712607996,0.06495185161248627,0.0028458655537134396
m3hg,m3hg_tav,tav,non_pair,emo_context,3,819.6666666666666,47.088569030427486,0.052973997716452316,0.0030432733814016325
m3hg,m3hg_tav,tav,non_pair,non_pair,3,13648.333333333334,78.42406093370435,0.8820741506710613,0.005068445739914971
m3hg,m3hg_tv,tv,emo_cause,emo_cause,3,1153.6666666666667,53.40724045795039,0.6430694908955779,0.029769922217363656
